French,English
à mon avis,in my opinion
absolument,absolutely
affreux,awful
agréable,pleasant
amusant,funny
barbant,boring
bien entendu,of course
bien sûr,of course
ça dépend,that depends
ça m’énerve,it gets on my nerves
ça me fait rire,it makes me laugh
ça me plaît,I like it
ça m’est égal,it’s all the same to me
ça ne me dit rien,it means nothing to me/I don't fancy that/I don't feel like it
ça suffit,that’s enough
casse-pieds,annoying
certainement,certainly
cher,"dear, expensive"
chouette,great
comme ci comme ça,so-so
compliqué,complicated
content,happy
croire,to believe
désagréable,unpleasant
désirer,to want
détester,to hate
dire,to say
drôle,funny
embêtant,annoying
en général,in general
enchanté,delighted
ennuyeux,boring
espérer,to hope
étonné,"astonished, amazed"
facile,easy
faible,weak
formidable,great
franchement,frankly
généralement,generally
génial,great
grave,serious
habile,clever
intéressant,interesting
(s’)intéresser à,to be interested in
inutile,useless
incroyable,incredible
inquiet/inquiète,worried
marrant,funny
marre (en avoir),(to be) fed up
mauvais,bad
merveilleux/merveilleuse,marvellous
mignon/mignonne,cute
moche,ugly
(moi) non plus,"nor me neither, nor do I"
nouveau,new
nul,rubbish
parfait,perfect
passionnant,exciting
peine la,the bother
penser,to think
peut-être,perhaps
pratique,practical
préférer,to prefer
promettre,to promise
ridicule,ridiculous
rigolo,funny
sage,well behaved
sembler,to seem
sensass,sensational
supporter,to put up with
utile,useful
vouloir,"to wish, want"
vraiment,"really, truly"
