French,English
alcool l’ (m),alcohol
alimentation l’ (f),food
aller bien,to be well
aller mieux,to be better
(s’) arrêter,to stop
association caritative l’ (f),charity
bonbon le,sweet
bonheur le,happiness
chocolat le,chocolate
combattre,to combat
déjeuner le,lunch
se détendre,to relax
devenir,to become
dîner le,evening meal
dormir,to sleep
drogue la,drug
se droguer,to take drugs
eau potable l’ (f),drinking water
égalité l’ (f),equality
en bonne forme,fit
en bonne santé,in good health
équilibré,balanced
espace vert l’ (m),green area
éviter,to avoid
faible,weak
faire un régime,to be on a diet
fatigué,tired
forme la,fitness
fort,strong
fumer,to smoke
garder,to look after
gras,fatty
habitude l’ (f),habit
malade,"ill, sick"
maladie la,illness
malsain,unhealthy
matières grasses les (f),fats
médecin le,doctor
médicament le,medicine
obésité l’ (f),obesity
odeur l’ (f),smell
petit déjeuner le,breakfast
pressé,"in a hurry, rushed/squeezed"
se relaxer,to relax
repas le,meal
rester,to stay
réussir,to succeed
sain,healthy
santé la,health
(se) sentir,to feel
sommeil le,sleep
sucré,sugary
suivre,to follow
tabac le,tobacco
travail bénévole le,voluntary work
tuer,to kill
vide,empty
vomir,to be sick
accro,addicted
agir (il s’agit de),to act (it’s a question of)
alcoolique,alcoholic
avertir,to warn
avoir sommeil,to be sleepy
cacher,to hide
cancer (des poumons) le,(lung) cancer
coupable,guilty
casse-croûte le,snack
conseil le,advice
consommation la,"consumption, usage"
crise cardiaque la,heart attack
dégoûtant,disgusting
déprimé,depressed
désintoxiquer,to detox
dette la,debt
douleur la,pain
s’enivrer,to get drunk
enquête l’ (f),enquiry
entraînement l’ (m),training
épuiser,to exhaust
s’entraîner,to train
essoufflé,breathless
foie le,liver
hors d’haleine,out of breath
ivre,drunk
mannequin le,model
mener,to lead
musculation la,weight training
nourriture bio la,organic food
peau la,skin
quotidien(ne),daily
personnes défavorisées les (f),disadvantaged people
renoncer,to give up
respirer,to breathe
salé,salty
sida le,AIDS
soigner,to care for
soin le,care
surveiller,to watch
tabagisme le,addiction to smoking
tatouage le,tattooing
tenter,to attempt
tousser,to cough
toxicomane le/la,drug addict
valoir mieux,"to be better, preferable"
voix la,voice
