French,English
à droite,on/to the right
à gauche,on/to the left
banlieue la,suburb
centre-ville le,town centre
campagne la,countryside
chez,at the house of
de chaque côté,from each side
de l’autre côté,from the other side
en bas,down(stairs)
en haut,up(stairs)
est l' (m),east
ici,here
là,there
là-bas,over there
loin de,far from
nord le,north
nulle part,nowhere
ouest l' (m),west
par,by
partout,everywhere
quelque part,somewhere
situé (e),situated
sud le,south
tout droit,straight ahead
tout près,very near
toutes directions,all directions
ville la,town
