French,English
à cause de,because of
à part,apart from
ainsi,"so, therefore"
alors,"so, therefore, then"
aussi,also
car,because
cependant,however
c’est-à-dire,"that is to say, i.e."
comme,"as, like"
d’un côté/de l’autre côté,on the one hand/on the other hand
donc,"so, therefore"
ensuite,next
évidemment,obviously
mais,but
même si,even if
ou,or
par contre,on the other hand
par exemple,for example
pendant que,while
pourtant,however
puis,then
puisque,"seeing that, since"
quand,when
sans doute,"undoubtedly, without doubt, probably"
si,if
y compris,including
