French,English
agent de police l’ (m),policeman
avenir l’ (m),future
boucher le,butcher
boulanger le,baker
boulot le,job
candidat le,candidate
coiffeur le,hairdresser
compter (sur),to count (on)
employé(e) l',employee
employeur l',employer
espérer,to hope
facteur le,postman
fermier le,farmer
gagner,"to earn, win"
idée l’ (f),idea
infirmier l’ (m),nurse
informaticien l’,IT worker
ingénieur l’ (m),engineer
journal le,newspaper
livre la (sterling),pound (sterling)
maçon le,builder
mécanicien le,mechanic
mettre de l’argent de côté,to save money
patron le; patronne la,boss
petit job le,part-time job
plombier le,plumber
policier le,policeman
rêve le,dream
rêver,to dream
recevoir,to receive
varié,varied
vétérinaire le,vet
à peine,scarcely
assis,sitting
avocat l’ (m),lawyer
comptable le,accountant
croisière la,cruise
débouché le,prospect/job prospect/opportunity
debout,standing
dessinateur de mode le,fashion designer
disponible,available
élargir,to widen
entreprise l’ (f),"firm, enterprise"
entretien l’ (m),interview
enrichissant,"enriching, rewarding"
espoir l’ (m),hope
interprète l’ (m),interpreter
outil l’ (m),tool
venir de,to have just
