French,English
accueil l’ (m),welcome
aéroport l’ (m),airport
Afrique l’ (f)/africain,Africa/African
agence de voyages l’ (f),travel agency
Algérie l’ (f)/algérien,Algeria/Algerian
Allemagne l’ (f)/allemand,Germany/German
Alpes les (f),Alps
Angleterre l’ (f)/anglais,England/English
arrivée l’ (f),arrival
ascenseur l’ (m),lift
s’asseoir,to sit down
attendre,to wait (for)
auberge de jeunesse l’ (f),youth hostel
auto l’ (f),car
autobus l’ (m),bus
autoroute l’ (f),motorway
aventure l’ (f),adventure
avion l’ (m),plane
bagages les (m),luggage
(se) baigner,"to bathe, swim"
bateau le,boat
Belgique la/belge,Belgium/Belgian
bord de la mer le,seaside
bronzer,to sunbathe
car le,coach
carte la,map
carte postale la,postcard
casser,to break
chambre de famille la,family room
chercher,to look for
Chine la/chinois,China/Chinese
clé la,key
colonie de vacances la,holiday/summer camp
conduire,to drive
se coucher,to go to bed
crème solaire la,sun cream
départ le,departure
descendre,to stay
dortoir le,dormitory
Douvres,Dover
durer,to last
échange l’ (m),exchange
Ecosse l’ (f)/écossais,Scotland/Scottish
en plein air,in the open air
Espagne l’ (f)/espagnol,Spain/Spanish
essence l’ (f),petrol
Etats-Unis les (m),USA
à l’étranger,abroad
étranger l’ (m),stranger/foreigner
expliquer,to explain
faire la connaissance,to get to know
faire du camping,to go camping
(se) garer,to park
Grande-Bretagne la/britannique,Great Britain/British
(s’) habituer à,to get used to
horaire l’ (m),timetable
île l’ (f),island
lac le,lake
laisser,to leave
laver,to wash
(se) laver,to get washed
lentement,slowly
lever,to lift
(se) lever,to get up
lit le,bed
location de voitures la,car rental
logement le,accommodation
loger,"to stay, lodge"
loisir le,free time (activity)
Londres,London
louer,"to hire, rent"
lunettes de soleil les (f),sun glasses
maillot de bain le,swimming costume
Manche la,English Channel
marcher,to walk
Maroc le/marocain,Morocco/Moroccan
Méditerranée la,Mediterranean
monde le,world
montagne la,mountain
monter,to go up/ascend
moto la,motor bike
nager,to swim
parc d’attractions le,theme park
partir,to leave
Pays de Galles le/gallois,Wales/Welsh
pièce d’identité la,means of identification
plage la,beach
plan de ville le,town plan
se présenter,to introduce oneself
prêt,ready
projet le,plan
se promener,to go for a walk
propriétaire le/la,owner
randonnée la,"walk, hike"
remercier,to thank
rendez-vous le,meeting
renseignements les (m),information
réserver,"to book, reserve"
rester,to stay
retour le,return
retourner,to return
(se) réveiller,to wake up
revenir,to come back
rivière la,river
route la,"road, way"
salle de séjour la,lounge
sable le,sand
sac de couchage le,sleeping bag
séjour le,"stay, visit"
spectacle le,show
Suisse la/suisse,Switzerland/Swiss
tourisme le,tourism
tourner,to turn
Tunisie la/tunisien,Tunisia/Tunisian
vacances les (f),holidays
valise la,suitcase
visite la (guidée),(guided) visit
voiture la,car
vol le,flight
voler,to fly
voyager,to travel
vue de mer la,sea view
aire de jeux l’ (f),play area
atterrir,to land
avis l’ (m),opinion
chambre d’hôte la,bed and breakfast
chemin le,"way, path"
chemin de fer le,railway
climatisation la,air conditioning
concours le,competition
se débrouiller,"to get by, to cope"
décoller,to take off
déranger,to disturb
donner sur,to overlook
dresser,to put up (tent)
emplacement l’ (m),pitch (tent)
événement l’ (m),event
faire la grasse matinée,"to lie in, sleep in"
foire la,fair
frontière la,"border, frontier"
héberger,"to lodge, accommodate"
herbe l’ (f),grass
inconnu,unknown
jardin zoologique le,zoo
jumelé,twinned
lavabo le,wash basin
lits superposés les (m),bunk beds
manquer,to miss
se mettre en route,to set off
moquette la,carpet
paraître,to seem
permis de conduire le,driving licence
la perte,loss
plaire,to please
plongée sous-marine la,underwater diving
ralentir,to slow down
remarquer,to notice
sommet le,summit
station balnéaire la,seaside resort
tour la,"tower, tour"
traduire,to translate
trajet le,journey
traversée la,crossing
