complet/complète | completcomplA te.mp3
entrée l' (f) | entrAe l f.mp3
libre | libre.mp3
fermer | fermer.mp3
interdit | interdit.mp3
occupé | occupA.mp3
ouvert | ouvert.mp3
ouvrir | ouvrir.mp3
sortie la | sortie la.mp3
combien ? | combien.mp3
comment ? | comment.mp3
est-ce que ? | est-ce que.mp3
où ? | oA1.mp3
pourquoi ? | pourquoi.mp3
quand ? | quand.mp3
que ? | que.mp3
quel/quelle ? | quelquelle.mp3
qu’est-ce que ? | quaTMest-ce que.mp3
qu’est-ce qui ? | quaTMest-ce qui.mp3
qu’est-ce que c’est ? | quaTMest-ce que caTMest.mp3
qui ? | qui.mp3
quoi ? | quoi.mp3
châtain | chAtain.mp3
clair | clair.mp3
foncé | foncA.mp3
marron | marron.mp3
noisette | noisette.mp3
pourpre | pourpre.mp3
rose | rose.mp3
roux | roux.mp3
CDI centre de documentation et d’information le | CDI centre de documentation et daTMinformation le.mp3
CES collège d’enseignement secondaire le | CES collA ge daTMenseignement secondaire le.mp3
EPS éducation physique et sportive l’ (f) | EPS Aducation physique et sportive laTM f.mp3
HLM habitation à loyer modéré l’ (f) | HLM habitation A  loyer modArA laTM f.mp3
SAMU service d’aide médicale d’urgence le | SAMU service daTMaide mAdicale daTMurgence le.mp3
SDF sans domicile fixe le | SDF sans domicile fixe le.mp3
SNCF société nationale des chemins de fer français la | SNCF sociAtA nationale des chemins de fer franAais la.mp3
TGV train à grande vitesse le | TGV train A  grande vitesse le.mp3
TVA taxe sur la valeur ajoutée la | TVA taxe sur la valeur ajoutAe la.mp3
VTT vélo tout terrain le | VTT vAlo tout terrain le.mp3
à quelle heure ? | A  quelle heure.mp3
ça s’écrit comment ? | Aa saTMAcrit comment.mp3
c’est combien ? | caTMest combien.mp3
c’est quelle date ? | caTMest quelle date.mp3
c’est quel jour ? | caTMest quel jour.mp3
de quelle couleur ? | de quelle couleur.mp3
d’où ? | daTMoA1.mp3
pour combien de temps ? | pour combien de temps.mp3
que veut dire... ? | que veut dire.mp3
quelle heure est-il ? | quelle heure est-il.mp3
plus/moins | plusmoins.mp3
plus que/moins que | plus quemoins que.mp3
bon/meilleur/le meilleur | bonmeilleurle meilleur.mp3
mauvais/pire/le pire | mauvaispirele pire.mp3
bien/mieux/le mieux | bienmieuxle mieux.mp3
mal/plus mal/le plus mal | malplus malle plus mal.mp3
beaucoup/plus/le plus | beaucoupplusle plus.mp3
peu/moins/le moins | peumoinsle moins.mp3
à cause de | A  cause de.mp3
à part | A  part.mp3
ainsi | ainsi.mp3
alors | alors.mp3
aussi | aussi.mp3
car | car.mp3
cependant | cependant.mp3
c’est-à-dire | caTMest-A -dire.mp3
comme | comme.mp3
d’un côté/de l’autre côté | daTMun cA tAde laTMautre cA tA.mp3
donc | donc.mp3
ensuite | ensuite.mp3
évidemment | Avidemment.mp3
mais | mais.mp3
même si | mAame si.mp3
ou | ou.mp3
par contre | par contre.mp3
par exemple | par exemple.mp3
pendant que | pendant que.mp3
pourtant | pourtant.mp3
puis | puis.mp3
puisque | puisque.mp3
quand | quand.mp3
sans doute | sans doute.mp3
si | si.mp3
y compris | y compris.mp3
avoir raison | avoir raison.mp3
avoir tort | avoir tort.mp3
corriger | corriger.mp3
erreur l' (f) | erreur l f.mp3
faute la | faute la.mp3
faux/fausse | fauxfausse.mp3
il (me) faut | il me faut.mp3
juste | juste.mp3
obligatoire | obligatoire.mp3
parfait | parfait.mp3
sûr | sAr.mp3
se tromper | se tromper.mp3
vrai | vrai.mp3
cadeau le | cadeau le.mp3
église l’ (f) | Aglise laTM f.mp3
fête la | fAate la.mp3
fête des mères la | fAate des mA res la.mp3
fête des rois la | fAate des rois la.mp3
fête du travail la | fAate du travail la.mp3
fêter | fAater.mp3
feux d’artifice les (m) | feux daTMartifice les m.mp3
Jour de l’An le | Jour de laTMAn le.mp3
juif/juive | juifjuive.mp3
mosquée la | mosquAe la.mp3
musulman | musulman.mp3
Pâques | PAques.mp3
poisson d’avril | poisson daTMavril.mp3
religieux/religieuse | religieuxreligieuse.mp3
Saint-Sylvestre la | Saint-Sylvestre la.mp3
Saint Valentin la | Saint Valentin la.mp3
Toussaint la | Toussaint la.mp3
veille de Noël la | veille de NoAl la.mp3
défilé le | dAfilA le.mp3
jour férié le | jour fAriA le.mp3
messe la | messe la.mp3
Pentecôte la | PentecA te la.mp3
réunion la | rAunion la.mp3
année sabbatique l' (f) | annAe sabbatique l f.mp3
apprenti(e) l' (m/f) | apprentie l mf.mp3
avoir envie de | avoir envie de.mp3
avoir l’intention (de) | avoir laTMintention de.mp3
bac(calauréat) le | baccalaurAat le.mp3
en première | en premiA re.mp3
en terminale | en terminale.mp3
étudier | Atudier.mp3
laisser tomber | laisser tomber.mp3
liberté la | libertA la.mp3
lycée le | lycAe le.mp3
conseiller d’orientation le | conseiller daTMorientation le.mp3
épreuve l’ (f) | Apreuve laTM f.mp3
établissement l’ (m) | Atablissement laTM m.mp3
faculté la | facultA la.mp3
former | former.mp3
licence la | licence la.mp3
actualités les (f) | actualitAs les f.mp3
agneau l’ (m) | agneau laTM m.mp3
argent l’ (m) | argent laTM m.mp3
assiette l’ (f) | assiette laTM f.mp3
basket le | basket le.mp3
beurre le | beurre le.mp3
bière la | biA re la.mp3
billet le | billet le.mp3
bœuf le | bAuf le.mp3
boire | boire.mp3
boisson la | boisson la.mp3
canard le | canard le.mp3
la carte | la carte.mp3
centre sportif le | centre sportif le.mp3
cerise la | cerise la.mp3
champignon le | champignon le.mp3
chanter | chanter.mp3
chanteur le/chanteuse la | chanteur lechanteuse la.mp3
chanson la | chanson la.mp3
cheval le | cheval le.mp3
choisir | choisir.mp3
chou le | chou le.mp3
chou-fleur le | chou-fleur le.mp3
citron le | citron le.mp3
club des jeunes le | club des jeunes le.mp3
commander | commander.mp3
commencer | commencer.mp3
confiture la | confiture la.mp3
courir | courir.mp3
coûter | coAter.mp3
crêpe la | crAape la.mp3
crudités les (f) | cruditAs les f.mp3
débuter | dAbuter.mp3
dessin animé le | dessin animA le.mp3
dinde la | dinde la.mp3
eau (minérale) l’ (f) | eau minArale laTM f.mp3
équitation l’ (f) | Aquitation laTM f.mp3
escalade l’ (f) | escalade laTM f.mp3
escargot l’ (m) | escargot laTM m.mp3
essayer | essayer.mp3
fana de (le) | fana de le.mp3
feuilleton le | feuilleton le.mp3
film de guerre le | film de guerre le.mp3
film policier le | film policier le.mp3
fraise la | fraise la.mp3
framboise la | framboise la.mp3
fruits de mer les (m) | fruits de mer les m.mp3
glace la | glace la.mp3
goûter | goAter.mp3
haricots verts les (m) | haricots verts les m.mp3
hors d’œuvre le (m) | hors daTMAuvre le m.mp3
s’intéresser à | saTMintAresser A.mp3
jambon le | jambon le.mp3
jeu télévisé le | jeu tAlAvisA le.mp3
lait le | lait le.mp3
légumes les (m) | lAgumes les m.mp3
natation la | natation la.mp3
nourriture la | nourriture la.mp3
œuf l’ (m) | Auf laTM m.mp3
oignon l’ (m) | oignon laTM m.mp3
passe-temps le | passe-temps le.mp3
pâtes les (f) | pAtes les f.mp3
patinage à glace le | patinage A  glace le.mp3
patinoire la | patinoire la.mp3
payer | payer.mp3
pêche la | pAache la.mp3
petits pois les (m) | petits pois les m.mp3
planche à voile la | planche A  voile la.mp3
plat principal le | plat principal le.mp3
poire la | poire la.mp3
poisson le | poisson le.mp3
poivre le | poivre le.mp3
pomme la | pomme la.mp3
pomme de terre la | pomme de terre la.mp3
potage le | potage le.mp3
poulet le | poulet le.mp3
piscine la | piscine la.mp3
pourboire le | pourboire le.mp3
prendre | prendre.mp3
promenade la | promenade la.mp3
publicité la | publicitA la.mp3
raisins les (m) | raisins les m.mp3
rencontrer | rencontrer.mp3
repas le | repas le.mp3
riz le | riz le.mp3
saucisse la | saucisse la.mp3
saumon le | saumon le.mp3
sel le | sel le.mp3
série la | sArie la.mp3
serveur le/serveuse la | serveur leserveuse la.mp3
skate le | skate le.mp3
ski (nautique) le | ski nautique le.mp3
sports d’hiver les (m) | sports daTMhiver les m.mp3
stade le | stade le.mp3
steak haché le | steak hachA le.mp3
sucre le | sucre le.mp3
tasse la | tasse la.mp3
télé réalité la | tAlA rAalitA la.mp3
temps libre le | temps libre le.mp3
thé le | thA le.mp3
thon le | thon le.mp3
truite la | truite la.mp3
vedette la | vedette la.mp3
viande la | viande la.mp3
voile la | voile la.mp3
voir | voir.mp3
volley le | volley le.mp3
vouloir | vouloir.mp3
yaourt le | yaourt le.mp3
s’abonner | saTMabonner.mp3
ado l’ (m/f) | ado laTM mf.mp3
ail l’ (m) | ail laTM m.mp3
amer/amère | ameramA re.mp3
ananas l’ (m) | ananas laTM m.mp3
bien cuit | bien cuit.mp3
chorale la | chorale la.mp3
course la | course la.mp3
échecs les (m) | Achecs les m.mp3
effets spéciaux (m) les | effets spAciaux m les.mp3
épicé | ApicA.mp3
espèce l’ (f) | espA ce laTM f.mp3
féliciter | fAliciter.mp3
lieu le (avoir lieu) | lieu le avoir lieu.mp3
marquer un but/un essai | marquer un butun essai.mp3
noix la | noix la.mp3
pamplemousse la | pamplemousse la.mp3
piquant | piquant.mp3
prune la | prune la.mp3
séance la | sAance la.mp3
tournée la | tournAe la.mp3
tournoi le | tournoi le.mp3
veau le | veau le.mp3
allumer | allumer.mp3
bain le | bain le.mp3
boîte la (en carton) | boAte la en carton.mp3
centre de recyclage le | centre de recyclage le.mp3
chômage le | chA mage le.mp3
chauffage central le | chauffage central le.mp3
cultiver | cultiver.mp3
en danger | en danger.mp3
déchets les (m) | dAchets les m.mp3
détruire | dAtruire.mp3
disparaître | disparaAtre.mp3
douche la | douche la.mp3
environnement l’ (m) | environnement laTM m.mp3
éteindre | Ateindre.mp3
faire du recyclage | faire du recyclage.mp3
gaspiller | gaspiller.mp3
inondation l’ (f) | inondation laTM f.mp3
jeter | jeter.mp3
ordures les (f) | ordures les f.mp3
pauvreté la | pauvretA la.mp3
pétrole le | pAtrole le.mp3
piste cyclable la | piste cyclable la.mp3
pollué | polluA.mp3
poubelle la | poubelle la.mp3
protéger | protAger.mp3
réchauffement de la Terre le | rAchauffement de la Terre le.mp3
robinet le | robinet le.mp3
sac en plastique le | sac en plastique le.mp3
sans-abri le | sans-abri le.mp3
sauver | sauver.mp3
utiliser | utiliser.mp3
agresser | agresser.mp3
améliorer | amAliorer.mp3
attaque l’ (f) | attaque laTM f.mp3
augmenter | augmenter.mp3
bande la | bande la.mp3
campagne la | campagne la.mp3
charbon le | charbon le.mp3
couche d’ozone la | couche daTMozone la.mp3
croire | croire.mp3
déboisement le | dAboisement le.mp3
effet de serre l’ (m) | effet de serre laTM m.mp3
effrayant | effrayant.mp3
égal | Agal.mp3
emballage l’ (m) | emballage laTM m.mp3
empêcher | empAacher.mp3
endommager | endommager.mp3
énergie renouvelable l’ (f) | Anergie renouvelable laTM f.mp3
ennui l’ (m) | ennui laTM m.mp3
entouré | entourA.mp3
état l’ (m) | Atat laTM m.mp3
gaz carbonique le | gaz carbonique le.mp3
gaz d’échappement le | gaz daTMAchappement le.mp3
guerre la | guerre la.mp3
harceler | harceler.mp3
harcèlement le | harcA lement le.mp3
immigré l’ (m) | immigrA laTM m.mp3
incendie l’ (m) | incendie laTM m.mp3
inonder | inonder.mp3
s’inquiéter | saTMinquiAter.mp3
lourd | lourd.mp3
lutter | lutter.mp3
manifestation la | manifestation la.mp3
marée la | marAe la.mp3
mentir | mentir.mp3
mondial | mondial.mp3
niveau le | niveau le.mp3
paix la | paix la.mp3
paysage le | paysage le.mp3
(se) plaindre | se plaindre.mp3
produire | produire.mp3
produits bio les (m) | produits bio les m.mp3
ramasser | ramasser.mp3
reconnaissant | reconnaissant.mp3
réfugié le | rAfugiA le.mp3
supporter | supporter.mp3
supprimer | supprimer.mp3
souci le | souci le.mp3
témoin le | tAmoin le.mp3
trou le | trou le.mp3
vague la | vague la.mp3
voler | voler.mp3
voyou le | voyou le.mp3
à bientôt | A  bientA t.mp3
à demain | A  demain.mp3
à tout à l’heure | A  tout A  laTMheure.mp3
allô | allA.mp3
amitiés | amitiAs.mp3
au secours | au secours.mp3
bien sûr | bien sAr.mp3
bienvenue | bienvenue.mp3
bon anniversaire | bon anniversaire.mp3
bon appétit | bon appAtit.mp3
bon voyage | bon voyage.mp3
bonne année | bonne annAe.mp3
bonne chance | bonne chance.mp3
bonne idée | bonne idAe.mp3
bonne nuit | bonne nuit.mp3
bonnes vacances | bonnes vacances.mp3
bonsoir | bonsoir.mp3
d’accord | daTMaccord.mp3
de rien | de rien.mp3
désolé (e) | dAsolA e.mp3
excusez-moi | excusez-moi.mp3
félicitations | fAlicitations.mp3
joyeux Noël | joyeux NoAl.mp3
meilleurs voeux | meilleurs voeux.mp3
pardon | pardon.mp3
quel dommage | quel dommage.mp3
salut | salut.mp3
santé | santA.mp3
s’il te/vous plaît | saTMil tevous plaAt.mp3
aider | aider.mp3
animé | animA.mp3
arbre l’ (m) | arbre laTM m.mp3
armoire l’ (f) | armoire laTM f.mp3
bâtiment le | bAtiment le.mp3
besoin le (avoir	de) | besoin le avoirde.mp3
bibliothèque la | bibliothA que la.mp3
boucherie la | boucherie la.mp3
baskets les (f) | baskets les f.mp3
boulangerie la | boulangerie la.mp3
bijou le | bijou le.mp3
bijouterie la | bijouterie la.mp3
blouson le | blouson le.mp3
bon marché | bon marchA.mp3
bruit le | bruit le.mp3
bureau le | bureau le.mp3
bruyant | bruyant.mp3
caisse la | caisse la.mp3
calme | calme.mp3
campagne la | campagne la.mp3
carte bancaire la | carte bancaire la.mp3
cave la | cave la.mp3
ceinture la | ceinture la.mp3
célèbre | cAlA bre.mp3
centre commercial le | centre commercial le.mp3
champ le | champ le.mp3
chapeau le | chapeau le.mp3
charcuterie la | charcuterie la.mp3
chaussette la | chaussette la.mp3
chaussure la | chaussure la.mp3
chemise la | chemise la.mp3
choix le | choix le.mp3
chose la | chose la.mp3
circulation la | circulation la.mp3
commerces les (m) | commerces les m.mp3
colline la | colline la.mp3
commissariat le | commissariat le.mp3
cravate la | cravate la.mp3
cuisine la | cuisine la.mp3
déménager | dAmAnager.mp3
démodé | dAmodA.mp3
dépenser | dApenser.mp3
devoir | devoir.mp3
économiser | Aconomiser.mp3
escalier l’ (m) | escalier laTM m.mp3
essayer | essayer.mp3
étage l’ (m) | Atage laTM m.mp3
fenêtre la | fenAatre la.mp3
ferme la | ferme la.mp3
fleur la | fleur la.mp3
gare la | gare la.mp3
gare routière la | gare routiA re la.mp3
gens les (m) | gens les m.mp3
gilet le | gilet le.mp3
grand magasin le | grand magasin le.mp3
gratuit | gratuit.mp3
habitant l’ (m) | habitant laTM m.mp3
hôtel de ville l’ (m) | hA tel de ville laTM m.mp3
immeuble l’ (m) | immeuble laTM m.mp3
jardinage le | jardinage le.mp3
jupe la | jupe la.mp3
laver | laver.mp3
librairie la | librairie la.mp3
livrer | livrer.mp3
maison la (individuelle/jumelée/mitoyenne) | maison la individuellejumelAemitoyenne.mp3
mairie la | mairie la.mp3
manteau le | manteau le.mp3
marché le | marchA le.mp3
meubles les (m) | meubles les m.mp3
mode la | mode la.mp3
(à la) montagne la | A  la montagne la.mp3
mur le | mur le.mp3
musée le | musAe le.mp3
nettoyer | nettoyer.mp3
pantalon le | pantalon le.mp3
parc le | parc le.mp3
parfum le | parfum le.mp3
pâtisserie la | pAtisserie la.mp3
pauvre | pauvre.mp3
perdre | perdre.mp3
pièce la | piA ce la.mp3
place la | place la.mp3
portefeuille le | portefeuille le.mp3
porte-monnaie le | porte-monnaie le.mp3
poser | poser.mp3
poste la | poste la.mp3
pouvoir | pouvoir.mp3
prix le | prix le.mp3
propre | propre.mp3
pull le | pull le.mp3
quartier le | quartier le.mp3
quitter | quitter.mp3
ranger | ranger.mp3
réduire | rAduire.mp3
réduit | rAduit.mp3
rez-de-chaussée le | rez-de-chaussAe le.mp3
risque le | risque le.mp3
robe la | robe la.mp3
sale | sale.mp3
salle à manger la | salle A  manger la.mp3
salle de bains la | salle de bains la.mp3
salon le | salon le.mp3
sécurité la | sAcuritA la.mp3
soldes les (m) | soldes les m.mp3
sous-sol le | sous-sol le.mp3
station-service la | station-service la.mp3
tabac le | tabac le.mp3
transport en commun le | transport en commun le.mp3
travailler | travailler.mp3
se trouver | se trouver.mp3
usine l’ (f) | usine laTM f.mp3
vendeur le/vendeuse la | vendeur levendeuse la.mp3
